City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Nouakchott,MR,89.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
224,Chipinge,ZW,65.86,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
227,Nikolskoye,RU,35.71,snow,59.7035,30.7861,Tourist House - Sablino
228,Homer,US,34.77,light snow,59.6425,-151.5483,Beluga Lake Lodge
229,Saraza,PH,78.66,light rain,8.7356,117.78,Farmqo Beach (Matangkay)
232,San Jose De Ocoa,DO,83.89,scattered clouds,18.55,-70.5,Hotel El Barcon
233,Bow Island,CA,37.42,overcast clouds,49.8668,-111.3684,Silver Sage Motel
235,Mount Gambier,AU,61.9,broken clouds,-37.8333,140.7667,The Commodore
236,Moron,AR,70.95,broken clouds,-34.6534,-58.6198,Hotel Morón
237,Ternate,ID,80.11,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
239,Mount Vernon,US,59.04,scattered clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
240,Padang,ID,77.97,overcast clouds,-0.9492,100.3543,Mercure Padang
241,Valdivia,CL,75.29,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
242,Gondanglegi,ID,73.8,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
243,Nikki,BJ,93.87,broken clouds,9.9401,3.2108,Hotel John
245,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
246,Sorland,NO,32.16,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
247,Redmond,US,47.73,clear sky,47.674,-122.1215,Seattle Marriott Redmond
248,Ketchikan,US,40.98,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
249,Mangrol,IN,70.88,clear sky,21.1167,70.1167,Hotel The Royal Honours
250,Half Moon Bay,US,65.88,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
252,Armidale,AU,50.81,scattered clouds,-30.5167,151.65,Abbotsleigh Motor Inn
253,Sawtell,AU,68.02,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
254,Pochutla,MX,87.62,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
256,Elat,IL,66.04,clear sky,29.5581,34.9482,Club Hotel Eilat
258,Palmer,US,60.62,overcast clouds,42.1584,-72.3287,Wedgewood Motel
259,Kenai,US,24.15,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
260,Kalabo,ZM,71.29,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
261,Willowmore,ZA,89.87,broken clouds,-33.2926,23.4895,Jumper's Place
263,Karratha,AU,86.49,broken clouds,-20.7377,116.8463,ibis Styles Karratha
264,Kazan,RU,29.01,light snow,55.7887,49.1221,Bon Ami
266,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
267,Sabya,SA,80.22,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
269,Manturovo,RU,20.66,overcast clouds,58.3353,44.7619,ProstoХостел
270,Am Timan,TD,86.88,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
271,Sibolga,ID,76.03,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
272,Mareeba,AU,74.12,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
273,Bambari,CF,90.12,scattered clouds,5.768,20.6757,Hotel-Restaurant BIBICH
274,Ulladulla,AU,62.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
276,Codo,BR,84.4,broken clouds,-4.4553,-43.8856,Hotel Porto do Sol
277,Katherine,AU,79.12,clear sky,-14.4667,132.2667,Pine Tree Motel
279,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
280,Ambilobe,MG,73.36,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
281,Gawler,AU,73.22,scattered clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
283,San Marcos,US,81.73,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
284,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
285,Dogondoutchi,NE,87.28,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
288,Kaeo,NZ,68.77,overcast clouds,-35.1,173.7833,Bushido Lodge
289,Sao Filipe,CV,79.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
290,Along,IN,49.23,clear sky,28.1667,94.7667,Hotel West
291,Voh,NC,76.05,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
292,Caravelas,BR,84.02,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
293,Salta,AR,64.69,light intensity drizzle,-24.7859,-65.4117,Hotel Alejandro I
294,Truth Or Consequences,US,45.91,clear sky,33.1284,-107.2528,Charles Motel
297,Belmonte,BR,84.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
298,Faya,SA,60.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
301,Havre-Saint-Pierre,CA,34.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
302,Kirakira,SB,77.54,overcast clouds,-10.4544,161.9205,SanBiz Lodge
303,Ponta Do Sol,PT,68.13,few clouds,32.6667,-17.1,Hotel do Campo
304,Itupiranga,BR,86.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
306,Sola,VU,77.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
308,Jalpa,MX,62.4,clear sky,21.6333,-102.9667,"Estacionamiento ""El Nogal"""
311,Tuatapere,NZ,51.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
313,Minna,NG,96.51,broken clouds,9.6139,6.5569,Royal Park hotel & suites
314,Kodiak,US,38.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
317,Kyabram,AU,71.87,clear sky,-36.3167,145.05,Kyabram Motor Inn
318,Vega De Alatorre,MX,73.89,overcast clouds,20.0333,-96.6333,Hotel Deluxe
319,Hami,CN,28.56,broken clouds,42.8,93.45,Laoyutang Resort
320,Manali,IN,81.07,few clouds,13.1667,80.2667,Sarathy Lodge
321,Bay Roberts,CA,43.52,overcast clouds,47.5999,-53.2648,Stonewall Inn
322,Torbay,CA,42.76,overcast clouds,47.6666,-52.7314,Gallows Cove
323,Najran,SA,74.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
